代码,时间,开盘价,最高价,最低价,收盘价,成交量.股.,成交额.元.
SZ300142,2024-01-02,23.51,23.66,23.07,23.09,12144131,282234560
SZ300142,2024-01-03,23.24,23.25,22.68,22.83,10984633,251341744
SZ300142,2024-01-04,22.7,22.94,22.5,22.6,8781390,199241344
SZ300142,2024-01-05,22.68,22.91,22.31,22.48,12152866,275364224
SZ300142,2024-01-08,22.28,22.55,21.8,21.84,12081342,266897536
SZ300142,2024-01-09,21.89,22.15,21.61,21.93,9013900,197475120
SZ300142,2024-01-10,21.97,22.1,21.6,21.66,10636251,232408384
SZ300142,2024-01-11,21.43,21.92,21.39,21.87,11876858,256801344
SZ300142,2024-01-12,21.75,22.02,21.68,21.68,8001334,174564656
SZ300142,2024-01-15,21.68,21.94,21.59,21.75,6917200,150624368
SZ300142,2024-01-16,21.77,21.8,21.26,21.61,9624791,207036656
SZ300142,2024-01-17,21.55,21.68,20.23,20.33,17878796,371981824
SZ300142,2024-01-18,20.0,20.29,19.54,20.16,24887628,494134880
SZ300142,2024-01-19,20.07,20.29,19.62,19.69,14511554,288815296
SZ300142,2024-01-22,19.6,19.83,18.91,19.03,20169910,391712064
SZ300142,2024-01-23,19.02,19.3,18.9,19.05,14836229,283177312
SZ300142,2024-01-24,19.15,19.26,18.31,19.11,17068592,320658272
SZ300142,2024-01-25,19.16,19.65,18.84,19.59,14005702,271279648
SZ300142,2024-01-26,19.01,19.13,18.35,18.5,29027142,543458304
SZ300142,2024-01-29,18.5,18.71,17.77,17.79,18408812,334784640
SZ300142,2024-01-30,17.57,17.94,17.2,17.28,17744340,312634176
SZ300142,2024-01-31,17.13,17.35,16.47,16.5,26257740,440005728
SZ300142,2024-02-01,16.5,17.05,16.34,16.74,17856654,298810688
SZ300142,2024-02-02,16.73,16.87,15.4,15.95,26601884,428351296
SZ300142,2024-02-05,15.9,16.38,14.48,15.81,38061280,587052032
SZ300142,2024-02-06,15.52,17.24,15.52,17.17,30263220,503464896
SZ300142,2024-02-07,17.15,17.98,17.05,17.42,30837896,538818368
SZ300142,2024-02-08,17.5,17.73,16.99,17.61,26679452,466323968
SZ300142,2024-02-19,17.63,17.83,17.4,17.74,19696204,347967808
SZ300142,2024-02-20,17.67,18.09,17.53,17.82,14989268,267349808
SZ300142,2024-02-21,17.67,18.37,17.5,18.02,21502024,387672256
SZ300142,2024-02-22,17.94,18.38,17.91,18.3,14749775,267643664
SZ300142,2024-02-23,18.3,18.36,17.99,18.28,17866060,324974208
SZ300142,2024-02-26,18.26,18.47,17.96,18.18,19224138,349901728
SZ300142,2024-02-27,18.17,18.44,18.03,18.44,17321568,316057088
SZ300142,2024-02-28,18.48,19.18,17.9,17.9,29636256,553357120
SZ300142,2024-02-29,17.78,18.42,17.68,18.4,19835676,360806592
SZ300142,2024-03-01,18.4,18.59,18.08,18.52,17085772,313599232
SZ300142,2024-03-04,18.43,18.97,18.34,18.65,19649808,366222080
SZ300142,2024-03-05,18.5,18.6,18.15,18.26,17919784,328756672
SZ300142,2024-03-06,18.2,18.29,17.91,18.01,14961066,270442208
SZ300142,2024-03-07,18.01,18.13,17.28,17.28,18962660,334831808
SZ300142,2024-03-08,17.31,17.54,17.13,17.18,12639559,218248368
SZ300142,2024-03-11,17.18,17.7,17.15,17.7,18321296,320056960
SZ300142,2024-03-12,17.77,18.55,17.76,18.53,30863236,566687488
SZ300142,2024-03-13,18.41,18.48,18.15,18.39,17919568,327944672
SZ300142,2024-03-14,18.82,19.16,18.04,18.17,26318430,487706048
SZ300142,2024-03-15,18.07,18.48,17.75,18.07,18481048,333390208
SZ300142,2024-03-18,18.07,18.18,17.79,18.15,18611610,335440544
SZ300142,2024-03-19,18.13,18.15,17.81,17.82,13714895,246339184
SZ300142,2024-03-20,17.82,18.02,17.62,17.76,15257458,271070784
SZ300142,2024-03-21,17.73,17.81,17.36,17.47,14655300,257368528
SZ300142,2024-03-22,17.45,17.52,16.7,16.76,21792216,370138208
SZ300142,2024-03-25,16.78,16.94,16.24,16.26,15857747,262297200
SZ300142,2024-03-26,16.3,16.35,15.87,16.06,17014108,273237664
SZ300142,2024-03-27,16.0,16.07,15.45,15.45,16844396,265525488
SZ300142,2024-03-28,15.46,15.75,15.36,15.52,16824616,262036272
SZ300142,2024-03-29,15.52,15.53,15.11,15.38,15733095,240566544
SZ300142,2024-04-01,15.35,16.12,15.33,16.05,19357820,305787712
SZ300142,2024-04-02,15.96,16.05,15.65,15.8,15123353,238568480
SZ300142,2024-04-03,15.88,16.1,15.64,15.66,14988630,237228480
SZ300142,2024-04-08,15.59,15.59,14.99,15.01,18809708,286997184
SZ300142,2024-04-09,15.01,15.42,14.86,15.37,16414321,249026352
SZ300142,2024-04-10,15.32,15.32,14.86,14.96,12282611,184577040
SZ300142,2024-04-11,14.96,15.02,14.68,14.69,15424404,228517712
SZ300142,2024-04-12,14.61,14.82,14.34,14.43,16385453,237812080
SZ300142,2024-04-15,14.39,14.59,13.98,14.22,20400560,290541440
SZ300142,2024-04-16,14.08,14.27,13.65,13.68,19550308,271914880
SZ300142,2024-04-17,13.72,14.3,13.72,14.21,18090808,255515504
SZ300142,2024-04-18,14.19,14.44,13.92,14.26,15672458,223525712
SZ300142,2024-04-19,14.19,14.26,13.95,13.99,12258736,172544832
SZ300142,2024-04-22,14.05,14.47,13.87,14.29,14827806,211362848
SZ300142,2024-04-23,14.23,14.39,14.06,14.25,14354613,204224048
