代码,时间,开盘价,最高价,最低价,收盘价,成交量.股.,成交额.元.
SH601233,2024-01-02,15.05,15.3,15.03,15.03,16025459,242573568
SH601233,2024-01-03,14.96,15.26,14.94,15.12,18155588,275072896
SH601233,2024-01-04,15.12,15.33,15.08,15.15,13865470,210692320
SH601233,2024-01-05,15.06,15.25,14.9,14.99,14856551,223816320
SH601233,2024-01-08,14.91,15.1,14.79,14.79,12245746,182663072
SH601233,2024-01-09,14.87,14.87,14.63,14.77,12524662,184511296
SH601233,2024-01-10,14.71,14.86,14.59,14.76,12093836,178626976
SH601233,2024-01-11,14.5,14.5,13.28,13.37,79817576,1069680640
SH601233,2024-01-12,13.3,13.77,13.3,13.51,42334236,574569024
SH601233,2024-01-15,13.51,13.82,13.43,13.7,22576388,308530080
SH601233,2024-01-16,13.68,13.8,13.48,13.58,19514164,265886880
SH601233,2024-01-17,13.5,13.63,13.22,13.22,14643622,196810512
SH601233,2024-01-18,13.11,13.18,12.77,13.09,21253766,275081280
SH601233,2024-01-19,13.02,13.24,13.0,13.02,18261716,239527056
SH601233,2024-01-22,12.95,12.99,12.25,12.36,24502614,309773248
SH601233,2024-01-23,12.37,12.63,12.0,12.56,24597328,303357664
SH601233,2024-01-24,12.6,12.9,12.32,12.72,16935450,214114272
SH601233,2024-01-25,12.85,13.2,12.74,13.05,16823044,219041680
SH601233,2024-01-26,13.01,13.17,12.95,13.01,10618855,138711360
SH601233,2024-01-29,12.94,13.1,12.62,12.7,13884841,178440800
SH601233,2024-01-30,12.6,12.66,12.2,12.25,15249238,190012736
SH601233,2024-01-31,12.07,12.42,11.83,11.88,22289792,268244176
SH601233,2024-02-01,11.78,11.94,11.56,11.67,29912574,351330080
SH601233,2024-02-02,11.67,11.98,10.94,11.32,28606296,329040352
SH601233,2024-02-05,11.31,11.47,10.63,10.91,34491004,380617504
SH601233,2024-02-06,10.8,11.95,10.75,11.8,28449586,324469856
SH601233,2024-02-07,11.79,12.98,11.62,12.97,39286184,492519680
SH601233,2024-02-08,12.97,13.64,12.74,13.11,39548096,524479488
SH601233,2024-02-19,13.35,13.35,12.61,12.78,30724632,393928480
SH601233,2024-02-20,12.81,13.07,12.58,12.93,19192664,246326400
SH601233,2024-02-21,12.99,13.43,12.8,13.09,25316038,333375520
SH601233,2024-02-22,12.99,13.26,12.96,13.13,11933764,156421600
SH601233,2024-02-23,13.23,13.46,13.05,13.37,12753305,168906752
SH601233,2024-02-26,13.29,13.4,13.14,13.16,17165800,227005952
SH601233,2024-02-27,13.19,13.38,13.03,13.32,14705271,194865952
SH601233,2024-02-28,13.26,13.51,13.15,13.15,17300800,230828736
SH601233,2024-02-29,13.1,13.73,13.04,13.6,21308564,287678976
SH601233,2024-03-01,13.52,13.69,13.5,13.61,15546285,211093168
SH601233,2024-03-04,13.56,14.0,13.5,13.92,18896900,260638352
SH601233,2024-03-05,13.88,13.94,13.69,13.79,16235993,224094672
SH601233,2024-03-06,13.87,14.38,13.81,14.08,20791670,293710976
SH601233,2024-03-07,14.09,14.61,14.09,14.17,23389308,335438592
SH601233,2024-03-08,14.16,14.49,14.15,14.31,12632058,180763744
SH601233,2024-03-11,14.23,14.57,14.23,14.43,15455941,222677728
SH601233,2024-03-12,14.5,14.59,14.03,14.17,25289680,358937920
SH601233,2024-03-13,14.26,14.26,13.99,14.14,14682109,206780608
SH601233,2024-03-14,14.03,14.14,13.73,13.83,22560586,313474720
SH601233,2024-03-15,13.76,13.99,13.59,13.9,21299276,293668544
SH601233,2024-03-18,13.9,14.25,13.81,14.03,16787304,234898736
SH601233,2024-03-19,13.95,14.0,13.8,13.81,13191288,182975712
SH601233,2024-03-20,13.76,13.89,13.67,13.73,11296700,155655840
SH601233,2024-03-21,13.76,13.8,13.46,13.59,12833432,174434464
SH601233,2024-03-22,13.58,13.72,13.38,13.43,12093435,163015088
SH601233,2024-03-25,13.41,13.6,13.25,13.28,13857820,185770096
SH601233,2024-03-26,13.38,13.41,13.11,13.28,10093016,133892008
SH601233,2024-03-27,13.3,13.62,13.2,13.36,14902670,199938416
SH601233,2024-03-28,13.28,13.54,13.2,13.41,15032335,201486080
SH601233,2024-03-29,13.33,13.78,13.32,13.74,12462862,170159328
SH601233,2024-04-01,13.72,14.25,13.68,14.1,18847620,265226368
SH601233,2024-04-02,14.16,14.38,14.1,14.22,16621379,236772736
SH601233,2024-04-03,14.16,14.57,14.16,14.27,21098288,303250240
SH601233,2024-04-08,14.29,14.64,14.15,14.19,29737008,427758624
SH601233,2024-04-09,14.2,14.29,13.91,14.02,14716380,206868560
SH601233,2024-04-10,14.05,14.12,13.75,13.86,16155448,224750256
SH601233,2024-04-11,13.85,14.07,13.66,13.91,15909028,221129408
SH601233,2024-04-12,13.95,13.95,13.54,13.74,17335250,237990336
SH601233,2024-04-15,13.7,14.19,13.61,14.08,20633254,288664608
SH601233,2024-04-16,14.06,14.3,13.71,13.74,16309854,227945856
SH601233,2024-04-17,13.7,13.97,13.6,13.89,15275531,210891552
SH601233,2024-04-18,13.84,14.28,13.8,13.98,14696400,205980656
SH601233,2024-04-19,13.87,14.55,13.87,14.37,20440444,293264416
SH601233,2024-04-22,14.38,14.54,14.11,14.19,17759740,254552320
SH601233,2024-04-23,14.12,14.24,13.42,13.76,24227206,332246208
SH601233,2024-04-24,13.87,13.87,13.4,13.55,15746464,212801968
SH601233,2024-04-25,13.48,13.77,13.41,13.46,17075860,231655648
SH601233,2024-04-26,13.46,13.79,13.06,13.38,31245468,416936480
SH601233,2024-04-29,13.35,13.45,12.9,13.37,34116128,451698400
SH601233,2024-04-30,13.75,14.12,13.56,13.77,42905064,595275072
SH601233,2024-05-06,14.1,15.15,14.02,15.15,54716512,804705216
SH601233,2024-05-07,15.15,15.29,14.76,14.84,55042968,820563776
