日期,组合价值
2024-01-02,1000000.0
2024-01-03,1013330.96
2024-01-04,1013330.96
2024-01-05,1010950.6599999999
2024-01-08,1010950.6599999999
2024-01-09,1017251.6099999999
2024-01-10,1017251.6099999999
2024-01-11,1037141.3599999999
2024-01-12,1037141.3599999999
2024-01-15,1032213.5699999997
2024-01-16,1032213.5699999997
2024-01-17,1039542.7899999997
2024-01-18,1039542.7899999997
2024-01-19,1039562.5799999997
2024-01-22,1039562.5799999997
2024-01-23,1039562.5799999997
2024-01-24,1047121.1199999996
2024-01-25,1047121.1199999996
2024-01-26,1059105.2799999998
2024-01-29,1059105.2799999998
2024-01-30,1051842.3099999998
2024-01-31,1051842.3099999998
2024-02-01,1051842.3099999998
2024-02-02,1051842.3099999998
2024-02-05,1051842.3099999998
2024-02-06,1051842.3099999998
2024-02-07,1051842.3099999998
2024-02-08,1051842.3099999998
2024-02-19,1073521.89
2024-02-20,1073521.89
2024-02-21,1073945.0900000003
2024-02-22,1073945.0900000003
2024-02-23,1090395.4200000004
2024-02-26,1090395.4200000004
2024-02-27,1124002.1000000006
2024-02-28,1124002.1000000006
2024-02-29,1132838.1200000006
2024-03-01,1132838.1200000006
2024-03-04,1112704.7600000007
2024-03-05,1112704.7600000007
2024-03-06,1104131.3500000006
2024-03-07,1104131.3500000006
2024-03-08,1095993.2700000005
2024-03-11,1095993.2700000005
2024-03-12,1095331.3000000003
2024-03-13,1095331.3000000003
2024-03-14,1092831.7300000004
2024-03-15,1092831.7300000004
2024-03-18,1083751.9600000004
2024-03-19,1083751.9600000004
2024-03-20,1086991.0800000003
2024-03-21,1086991.0800000003
2024-03-22,1096757.6200000003
2024-03-25,1096757.6200000003
2024-03-26,1096757.6200000003
2024-03-27,1096757.6200000003
2024-03-28,1096757.6200000003
2024-03-29,1096757.6200000003
2024-04-01,1096757.6200000003
2024-04-02,1096757.6200000003
2024-04-03,1096757.6200000003
2024-04-08,1096757.6200000003
2024-04-09,1096757.6200000003
2024-04-10,1096757.6200000003
2024-04-11,1096757.6200000003
2024-04-12,1096757.6200000003
2024-04-15,1096757.6200000003
2024-04-16,1096757.6200000003
2024-04-17,1096757.6200000003
2024-04-18,1096757.6200000003
2024-04-19,1096757.6200000003
2024-04-22,1096757.6200000003
2024-04-23,1096757.6200000003
2024-04-24,1096757.6200000003
2024-04-25,1096757.6200000003
2024-04-26,1096757.6200000003
2024-04-29,1096757.6200000003
2024-04-30,1096757.6200000003
2024-05-06,1096757.6200000003
2024-05-07,1096757.6200000003
2024-05-08,1096757.6200000003
2024-05-09,1096757.6200000003
2024-05-10,1103974.0400000005
2024-05-13,1103974.0400000005
2024-05-14,1103974.0400000005
2024-05-15,1103974.0400000005
2024-05-16,1103974.0400000005
2024-05-17,1103974.0400000005
2024-05-20,1103974.0400000005
2024-05-21,1103974.0400000005
2024-05-22,1103974.0400000005
2024-05-23,1103974.0400000005
2024-05-24,1103974.0400000005
2024-05-27,1103974.0400000005
2024-05-28,1103974.0400000005
2024-05-29,1103974.0400000005
2024-05-30,1103974.0400000005
2024-05-31,1103974.0400000005
2024-06-03,1103974.0400000005
2024-06-04,1103974.0400000005
2024-06-05,1103974.0400000005
2024-06-06,1097155.1400000006
