证券代码,证券简称,上市日期,所属行业
000009.SZ,中国宝安,1991-6-25,电力设备
000021.SZ,深科技,1994-2-2,电子
000027.SZ,深圳能源,1993-9-3,公用事业
000032.SZ,深桑达A,1993-10-28,建筑装饰
000034.SZ,神州数码,1994-5-9,计算机
000039.SZ,中集集团,1994-4-8,机械设备
000050.SZ,深天马A,1995-3-15,电子
000060.SZ,中金岭南,1997-1-23,有色金属
000066.SZ,中国长城,1997-6-26,计算机
000155.SZ,川能动力,2000-9-26,公用事业
000400.SZ,许继电气,1997-4-18,电力设备
000401.SZ,冀东水泥,1996-6-14,建筑材料
000403.SZ,派林生物,1996-6-28,医药生物
000423.SZ,东阿阿胶,1996-7-29,医药生物
000426.SZ,兴业银锡,1996-8-28,有色金属
000513.SZ,丽珠集团,1993-10-28,医药生物
000519.SZ,中兵红箭,1993-10-8,国防军工
000537.SZ,中绿电,1993-12-10,公用事业
000539.SZ,粤电力A,1993-11-26,公用事业
000559.SZ,万向钱潮,1994-1-10,汽车
000563.SZ,陕国投A,1994-1-10,非银金融
000591.SZ,太阳能,1996-2-8,公用事业
000598.SZ,兴蓉环境,1996-5-29,环保
000623.SZ,吉林敖东,1996-10-28,医药生物
000629.SZ,钒钛股份,1996-11-15,钢铁
000636.SZ,风华高科,1996-11-29,电子
000683.SZ,博源化工,1997-1-31,基础化工
000703.SZ,恒逸石化,1997-3-28,石油石化
000709.SZ,河钢股份,1997-4-16,钢铁
000723.SZ,美锦能源,1997-5-15,煤炭
000728.SZ,国元证券,1997-6-16,非银金融
000729.SZ,燕京啤酒,1997-7-16,食品饮料
000733.SZ,振华科技,1997-7-3,国防军工
000738.SZ,航发控制,1997-6-26,国防军工
000739.SZ,普洛药业,1997-5-9,医药生物
000750.SZ,国海证券,1997-7-9,非银金融
000778.SZ,新兴铸管,1997-6-6,钢铁
000783.SZ,长江证券,1997-7-31,非银金融
000785.SZ,居然智家,1997-7-11,商贸零售
000818.SZ,航锦科技,1997-10-17,基础化工
000825.SZ,太钢不锈,1998-10-21,钢铁
000830.SZ,鲁西化工,1998-8-7,基础化工
000831.SZ,中国稀土,1998-9-11,有色金属
000878.SZ,云南铜业,1998-6-2,有色金属
000883.SZ,湖北能源,1998-5-19,公用事业
000887.SZ,中鼎股份,1998-12-3,汽车
000893.SZ,亚钾国际,1998-12-24,基础化工
000898.SZ,鞍钢股份,1997-12-25,钢铁
000921.SZ,海信家电,1999-7-13,家用电器
000932.SZ,华菱钢铁,1999-8-3,钢铁
000937.SZ,冀中能源,1999-9-9,煤炭
