行业,股票数量,行业平均日均成交额(万元),筛选后行业平均波动率,行业总体平均波动率
传媒,6,26030.3857,0.8942,1.1519
电力设备,22,37570.3545,0.8296,1.016
电子,27,35047.4726,0.831,1.0327
房地产,3,26110.4446,0.9812,1.3478
纺织服饰,1,11794.7804,0.7773,1.1158
非银金融,17,43566.119,1.0461,1.4283
钢铁,9,19091.6978,1.2654,1.4734
公用事业,6,18453.8047,1.2753,1.4921
国防军工,13,26771.4884,0.9445,1.1518
环保,2,19968.3344,0.9391,1.4169
机械设备,9,28266.193,0.9173,1.1342
基础化工,12,19695.7743,0.9318,1.1817
计算机,14,38906.581,1.0209,1.2778
家用电器,2,25007.0064,0.7673,1.1514
建筑材料,2,22047.8904,0.9623,1.185
建筑装饰,3,17917.8744,1.1942,1.544
交通运输,6,15895.1324,0.9257,1.1927
煤炭,7,24566.773,1.1457,1.4344
美容护理,2,35741.464,0.7427,0.8256
农林牧渔,4,22626.7369,0.9329,1.135
汽车,7,20430.4626,0.7564,1.139
轻工制造,1,15084.227,0.6654,0.8781
商贸零售,4,22105.346,1.5576,1.9333
社会服务,4,16094.582,1.0923,1.319
石油石化,3,22469.1615,1.0119,1.3596
食品饮料,6,21520.8404,0.8136,0.9838
通信,3,20626.8208,0.8428,1.1047
医药生物,32,24176.5842,0.9099,1.0982
银行,4,20832.3186,0.7511,0.9133
有色金属,11,34548.7822,0.9724,1.1763
