"代码","时间","开盘价","最高价","最低价","收盘价","成交量.股.","成交额.元."
"SZ300339","2012-07-18",28,28,23.21,23.9,15097300,377211616
"SZ300339","2012-07-19",24.4,25.3,23.71,24.07,9312600,227639072
"SZ300339","2012-07-20",24,24.78,23.92,24.19,6108700,148457872
"SZ300339","2012-07-23",23.51,23.59,21.78,23.2,6049700,137162784
"SZ300339","2012-07-24",23.6,25.52,23.5,25.52,8184900,203476848
"SZ300339","2012-07-25",25.64,27,25.56,25.6,10016100,261939392
"SZ300339","2012-07-26",24.81,26.49,24.03,26.33,7909900,199832816
"SZ300339","2012-07-27",26.25,26.7,24.75,24.8,5746000,147789728
"SZ300339","2012-07-30",24.3,25.17,23.23,24.26,3949200,96070328
"SZ300339","2012-07-31",23.78,24,22.1,22.2,4571800,104659256
"SZ300339","2012-08-01",22.05,23.2,22.05,22.48,3174800,71542248
"SZ300339","2012-08-02",22.45,23.19,22.02,22.9,2802500,63622352
"SZ300339","2012-08-03",22.72,23.89,22.56,23.72,3376100,78902584
"SZ300339","2012-08-06",23.41,24.89,23.22,24.46,3289900,78920072
"SZ300339","2012-08-07",24.3,24.98,24,24,2398700,58108160
"SZ300339","2012-08-08",23.98,24.75,23.2,23.62,3236800,77756912
"SZ300339","2012-08-09",23.51,25.08,23.45,24.79,3465600,84430224
"SZ300339","2012-08-10",24.59,25.57,24.59,24.92,3184400,79922504
"SZ300339","2012-08-13",24.8,25.49,24.8,24.88,2473000,62254444
"SZ300339","2012-08-14",24.87,25.39,24.2,25.3,1758300,43892168
"SZ300339","2012-08-15",25.33,25.9,25.21,25.31,2118800,54167856
"SZ300339","2012-08-16",25,25.23,24.41,24.41,1323800,32752068
"SZ300339","2012-08-17",24.5,24.85,24.06,24.76,1051900,25806186
"SZ300339","2012-08-20",24.58,25.85,24.58,25.58,1937400,49115804
"SZ300339","2012-08-21",25.36,26.39,25.2,26.18,2535100,65411484
"SZ300339","2012-08-22",26.13,26.47,25.6,26.05,1783700,46451524
"SZ300339","2012-08-23",26.12,27.18,26.12,26.65,1993600,53107004
"SZ300339","2012-08-24",26.28,26.84,25.43,25.45,1610000,41957344
"SZ300339","2012-08-27",25.4,25.84,25.2,25.3,1046100,26602910
"SZ300339","2012-08-28",25.08,26.3,24.93,26.15,1310500,33721476
"SZ300339","2012-08-29",26.1,27.88,25.83,26.8,2009500,54163428
"SZ300339","2012-08-30",26.48,27.65,25.07,25.81,2492700,65071088
"SZ300339","2012-08-31",25.6,26.46,25.1,26.35,1469800,37910692
"SZ300339","2012-09-03",26.25,27.2,26.1,26.98,1696900,45569340
"SZ300339","2012-09-04",26.85,28.24,26.85,26.85,2285100,62811976
"SZ300339","2012-09-05",26.7,28.08,26.3,27.26,1669000,45377644
"SZ300339","2012-09-06",27.33,27.9,26.59,27.82,1916600,52151884
"SZ300339","2012-09-07",27.8,29,27.6,28.46,2135200,60517300
"SZ300339","2012-09-10",28.65,29.16,28.11,29.08,1770500,50753576
"SZ300339","2012-09-11",28.91,29.08,28.1,28.3,1098700,31270044
"SZ300339","2012-09-12",28.42,28.59,27.48,27.78,1522800,42658104
"SZ300339","2012-09-13",27.94,27.95,26.95,26.99,1820900,49651624
"SZ300339","2012-09-14",27.01,27.58,26.73,27.06,1727200,46863188
"SZ300339","2012-09-17",27.01,27.23,26.22,26.35,1157200,30942040
"SZ300339","2012-09-18",26.25,27.03,26.25,26.62,842700,22548460
"SZ300339","2012-09-19",26.61,26.92,25.95,26,921600,24318104
"SZ300339","2012-09-20",26.02,26.02,24.34,24.61,1668200,42009528
"SZ300339","2012-09-21",24.58,25.1,24.5,24.88,1007900,24981982
"SZ300339","2012-09-24",24.86,25.45,24.58,25.39,557200,14057195
"SZ300339","2012-09-25",25.14,25.55,24.85,25.28,544500,13767646
"SZ300339","2012-09-26",25,25,23.64,24.04,666600,16160469
"SZ300339","2012-09-27",23.76,24.65,23.76,24.46,321900,7850052
"SZ300339","2012-09-28",24.5,24.7,24.08,24.4,632400,15381886
"SZ300339","2012-10-08",24.4,24.63,23.7,23.99,670500,16091923
"SZ300339","2012-10-09",23.99,25.25,23.92,25.24,1083800,26782426
"SZ300339","2012-10-10",25.2,26.08,24.86,25.9,1081500,27666688
"SZ300339","2012-10-11",25.7,26.45,25.12,25.21,726700,18792920
"SZ300339","2012-10-12",25.45,25.67,24.6,25.42,916000,22872174
"SZ300339","2012-10-15",25.2,25.3,24.62,24.95,370500,9224165
"SZ300339","2012-10-16",24.9,25.74,24.89,25.58,639000,16284470
"SZ300339","2012-10-17",25.55,25.78,25.21,25.7,361900,9251003
"SZ300339","2012-10-18",25.68,25.99,25.35,25.83,420600,10821502
"SZ300339","2012-10-19",26.2,26.6,25.86,25.9,614500,16098268
"SZ300339","2012-10-22",25.79,25.97,25.2,25.9,319100,8181866
"SZ300339","2012-10-23",25.9,25.95,25.3,25.68,286500,7325225
"SZ300339","2012-10-24",25.77,25.93,25.38,25.42,368700,9429534
"SZ300339","2012-10-25",25.5,25.8,24.61,24.68,471000,11884029
"SZ300339","2012-10-26",24.65,24.78,24,24.31,688000,16788746
"SZ300339","2012-10-29",24.35,25.2,24.03,25.03,415100,10322273
"SZ300339","2012-10-30",25.16,25.37,24.84,25,292600,7350823
"SZ300339","2012-10-31",25,25.49,24.88,25.38,246900,6205263
"SZ300339","2012-11-01",25.38,25.86,25.31,25.71,501400,12834762
"SZ300339","2012-11-02",25.79,26.1,25.53,25.75,410200,10585832
"SZ300339","2012-11-05",25.71,25.88,24.88,24.92,526300,13252102
"SZ300339","2012-11-06",25,25.18,24.82,25.1,492900,12337288
"SZ300339","2012-11-07",25.06,25.28,24.93,25.02,193200,4836744
"SZ300339","2012-11-08",24.9,25.09,24.41,24.6,383500,9483580
"SZ300339","2012-11-09",24.58,24.77,24.4,24.71,251600,6186673
"SZ300339","2012-11-12",24.63,24.91,24.53,24.7,266800,6590682
"SZ300339","2012-11-13",24.75,25.18,24.4,24.88,360200,8933702
"SZ300339","2012-11-14",24.7,25.36,24.66,25.18,355800,8900609
"SZ300339","2012-11-15",25.08,25.08,23.67,23.68,487000,11817406
"SZ300339","2012-11-16",23.53,23.87,23,23.4,331400,7752057
"SZ300339","2012-11-19",23.46,23.76,23.02,23.7,294400,6862645
"SZ300339","2012-11-20",23.9,23.9,23.36,23.43,254200,5976266
"SZ300339","2012-11-21",23.39,23.59,23.02,23.5,356200,8319896
"SZ300339","2012-11-22",23.44,23.44,22.5,22.62,515100,11790927
"SZ300339","2012-11-23",22.75,22.97,22.5,22.84,263200,5978810
"SZ300339","2012-11-26",22.84,22.91,22.11,22.18,190000,4281995
"SZ300339","2012-11-27",22.26,22.26,21.56,21.65,272000,5928213
"SZ300339","2012-11-28",21.52,21.66,21.39,21.64,176500,3795385
"SZ300339","2012-11-29",21.79,21.79,20.7,20.81,180100,3858394
"SZ300339","2012-11-30",20.93,21.28,20.1,20.7,284800,5923282
"SZ300339","2012-12-03",20.46,20.73,19.71,20.2,199100,4039455
"SZ300339","2012-12-04",20.21,20.6,19.73,20.56,137200,2763495
"SZ300339","2012-12-05",20.22,21.95,20.22,21.58,503700,10797342
"SZ300339","2012-12-06",21.58,21.83,21.25,21.45,254500,5491492
"SZ300339","2012-12-07",21.27,21.9,21.27,21.81,295300,6388823
"SZ300339","2012-12-10",21.93,22.18,21.71,22.15,294500,6477388
"SZ300339","2012-12-11",22.1,22.1,21.71,21.82,237100,5179890
"SZ300339","2012-12-12",21.64,22.88,21.5,22.5,503900,11262516
"SZ300339","2012-12-13",22.38,22.87,22.2,22.78,644500,14619407
"SZ300339","2012-12-14",22.8,23.8,22.6,23.55,486500,11332375
"SZ300339","2012-12-17",23.5,24.18,23.35,23.86,518400,12321569
"SZ300339","2012-12-18",23.86,24,23.12,23.3,400900,9409739
"SZ300339","2012-12-19",23,24.08,22.91,24.08,425000,10071642
"SZ300339","2012-12-20",24.05,25.5,23.81,24.74,650800,16126711
"SZ300339","2012-12-21",24.75,25.85,24.66,25.57,945700,24016456
"SZ300339","2012-12-24",25.6,27.15,25.5,27.01,1622600,42969680
"SZ300339","2012-12-25",26.78,27.4,26.31,27.07,1697900,45516752
"SZ300339","2012-12-26",26.89,27.94,26.6,27.52,942700,25858636
"SZ300339","2012-12-27",27.52,27.8,25.82,25.85,980800,26108744
"SZ300339","2012-12-28",25.86,27.5,25.61,26.77,1437500,38269392
"SZ300339","2012-12-31",26.8,26.99,26,26.79,710400,18668766
"SZ300339","2013-01-04",26.85,28.58,26.6,27.92,1549200,42518688
"SZ300339","2013-01-07",27.78,28.08,27.28,28.07,977000,27083864
"SZ300339","2013-01-08",28.07,29.98,28,28.69,1372600,39581848
"SZ300339","2013-01-09",28.22,28.49,27,27.45,1263000,34943488
"SZ300339","2013-01-10",27.65,27.96,27.12,27.48,632400,17396808
"SZ300339","2013-01-11",30.23,30.23,30.23,30.23,1393700,42131248
"SZ300339","2013-01-14",31.5,32.55,30.3,31.9,7321400,230768112
"SZ300339","2013-01-15",31,31.6,30.62,31.18,4012300,124382512
"SZ300339","2013-01-16",30.68,31.65,30.39,30.96,2677400,83401184
"SZ300339","2013-01-17",30.7,30.72,29.65,29.72,2632600,79330848
"SZ300339","2013-01-18",29.82,30.24,29.55,29.94,1398100,41756240
"SZ300339","2013-01-21",29.93,30.98,29.88,30.84,2461800,74753000
"SZ300339","2013-01-22",30.5,30.75,28,29.13,1795200,52915048
"SZ300339","2013-01-23",28.68,29.67,28.68,29.57,1032700,30176964
"SZ300339","2013-01-24",29.39,29.8,27.9,28.2,1407500,40548200
"SZ300339","2013-01-25",28.29,28.66,28,28.25,682400,19380186
"SZ300339","2013-01-28",28.32,29.1,28.32,28.95,1227400,35280884
"SZ300339","2013-01-29",28.95,30.2,28.8,29.54,1340800,39683248
"SZ300339","2013-01-30",29.51,29.7,28.28,28.67,1328100,38191900
