代码,时间,开盘价,最高价,最低价,收盘价,成交量.股.,成交额.元.
SZ302132,2010-8-27,40.18,45,38.9,39.29,11813259,481417137.3
SZ302132,2010-8-30,38.95,39.49,37.39,39.07,6650531,256495823
SZ302132,2010-8-31,37.99,40.6,37.71,39.7,5986615,235508143.8
SZ302132,2010-9-1,39.26,39.35,36.6,36.87,4723444,179388808.9
SZ302132,2010-9-2,37.2,37.92,36.89,37.61,2646966,99199114.4
SZ302132,2010-9-3,37.63,40.23,37.6,39.38,4406616,174192200.3
SZ302132,2010-9-6,39.68,39.88,37.5,37.77,2610753,100335294.4
SZ302132,2010-9-7,37.5,38.36,37.25,38.12,1249255,47283039.8
SZ302132,2010-9-8,37.96,39.37,37.51,39.22,2158241,83572456
SZ302132,2010-9-9,39.2,40.37,38.7,38.75,2552608,101282236.9
SZ302132,2010-9-10,38.6,39.2,37.48,38.1,1707292,65103658.2
SZ302132,2010-9-13,38.28,40.85,37.82,40.01,2819144,111214478.1
SZ302132,2010-9-14,39.68,40.3,39.18,39.42,1498832,59417594.3
SZ302132,2010-9-15,39.38,39.44,36.88,37.08,2148756,81466909
SZ302132,2010-9-16,36.98,37.35,34.88,35.38,1734777,62050647
SZ302132,2010-9-17,35.4,35.62,34.78,35.3,832040,29144321.5
SZ302132,2010-9-20,34.95,35.38,33.85,34.15,742017,25487078.1
SZ302132,2010-9-21,34,36.7,34,34.5,791132,27703239.9
SZ302132,2010-9-27,34.85,34.9,33.91,34.7,430662,14910816.2
SZ302132,2010-9-28,34.62,34.94,34.15,34.6,465785,16113159.7
SZ302132,2010-9-29,34.61,34.74,32.58,32.6,983921,32863108.6
SZ302132,2010-9-30,32.51,33.32,32.25,33.1,439430,14467293.7
SZ302132,2010-10-8,33.41,33.97,33.03,33.97,546679,18349297.1
SZ302132,2010-10-11,33.89,34.08,33.2,33.53,586732,19684421.9
SZ302132,2010-10-12,33.51,33.87,33.01,33.23,661730,22198530.3
SZ302132,2010-10-13,33.23,33.45,32.31,33.18,674927,22124559.7
SZ302132,2010-10-14,33.29,34.38,33,34.2,890547,30084672
SZ302132,2010-10-15,34.28,34.8,33.41,34.09,899883,30515959
SZ302132,2010-10-18,34.22,34.22,32.11,32.89,803115,26193512.6
SZ302132,2010-10-19,32.72,35.34,32.72,34.64,1371747,47213993.3
SZ302132,2010-10-20,34.25,35.5,34.01,34.47,1062572,36877997
SZ302132,2010-10-21,34.47,34.6,33.22,33.7,859964,28981319.5
SZ302132,2010-10-22,33.69,35.15,33.69,35.12,1308697,45372522.7
SZ302132,2010-10-25,35.97,35.97,35.18,35.45,1644404,58439010.8
SZ302132,2010-10-26,35.48,37.5,35.48,37.15,1880178,68805769.8
SZ302132,2010-10-27,36.97,37.29,36.32,36.71,1212675,44686703.7
SZ302132,2010-10-28,36.87,37.88,36.5,37.52,1045958,39014116.1
SZ302132,2010-10-29,37.55,38.38,37.2,37.55,1883764,71451233.3
SZ302132,2010-11-1,37.88,39.55,37.6,38.98,2011394,77380596.3
SZ302132,2010-11-2,38.78,39.78,37.88,37.9,1520839,58697991
SZ302132,2010-11-3,37.31,37.6,36.3,36.3,1170335,43331155.8
SZ302132,2010-11-4,36.24,38.26,36.24,37.26,942789,35269902.5
SZ302132,2010-11-5,37.8,38.7,37.1,38.34,1280428,48748566.1
