"代码","时间","开盘价","最高价","最低价","收盘价","成交量.股.","成交额.元."
"SH600348","2003-08-21",9.01,9.32,8.98,9.08,59120200,540657024
"SH600348","2003-08-22",9,9.16,8.96,9.01,18074900,163402000
"SH600348","2003-08-25",8.98,8.99,8.64,8.75,12393000,108711000
"SH600348","2003-08-26",8.72,8.87,8.63,8.78,6246100,54567000
"SH600348","2003-08-27",8.79,8.84,8.65,8.69,3747700,32728000
"SH600348","2003-08-28",8.7,8.87,8.69,8.71,5905600,51806000
"SH600348","2003-08-29",8.69,8.76,8.54,8.76,5401300,46726000
"SH600348","2003-09-01",8.76,9.18,8.67,9.05,14618700,131263000
"SH600348","2003-09-02",9.09,9.19,8.98,9.05,13680400,124275000
"SH600348","2003-09-03",9.05,9.06,8.89,8.95,5549300,49657000
"SH600348","2003-09-04",8.91,8.99,8.88,8.91,4134200,36922000
"SH600348","2003-09-05",8.89,8.92,8.65,8.7,4952300,43427000
"SH600348","2003-09-08",8.67,8.76,8.62,8.7,2029800,17617000
"SH600348","2003-09-09",8.66,8.73,8.57,8.6,3332000,28740000
"SH600348","2003-09-10",8.63,8.68,8.56,8.62,1359200,11717000
"SH600348","2003-09-11",8.63,8.68,8.59,8.6,1267300,10931000
"SH600348","2003-09-12",8.61,8.67,8.38,8.44,5914500,49979000
"SH600348","2003-09-15",8.4,8.46,8.31,8.33,3340200,27946000
"SH600348","2003-09-16",8.31,8.45,8.29,8.42,2069000,17338000
"SH600348","2003-09-17",8.41,8.41,8.29,8.33,2462000,20472000
"SH600348","2003-09-18",8.3,8.42,8.28,8.33,1667200,13896000
"SH600348","2003-09-19",8.32,8.44,8.28,8.42,1624700,13567000
"SH600348","2003-09-22",8.52,8.53,8.39,8.44,2469700,20874000
"SH600348","2003-09-23",8.44,8.49,8.35,8.47,1273200,10730000
"SH600348","2003-09-24",8.48,8.54,8.4,8.43,1208700,10239000
"SH600348","2003-09-25",8.42,8.43,8.32,8.33,1200700,10028000
"SH600348","2003-09-26",8.3,8.46,8.3,8.41,1206200,10112000
"SH600348","2003-09-29",8.41,8.45,8.35,8.37,1339400,11230000
"SH600348","2003-09-30",8.36,8.45,8.3,8.4,2013900,16852000
"SH600348","2003-10-08",8.38,8.48,8.28,8.47,1487800,12452000
"SH600348","2003-10-09",8.47,8.53,8.38,8.45,2057200,17417000
"SH600348","2003-10-10",8.45,8.69,8.37,8.61,5743600,49248000
"SH600348","2003-10-13",8.6,8.84,8.59,8.61,4968900,43290000
"SH600348","2003-10-14",8.6,8.66,8.49,8.59,1695600,14529000
"SH600348","2003-10-15",8.56,8.64,8.45,8.48,1590000,13606000
"SH600348","2003-10-16",8.46,8.48,8.36,8.45,1894600,15941000
"SH600348","2003-10-17",8.4,8.48,8.35,8.4,830200,6986000
"SH600348","2003-10-20",8.38,8.44,8.35,8.44,1203700,10098000
"SH600348","2003-10-21",8.44,8.44,8.34,8.4,1217300,10198000
"SH600348","2003-10-22",8.43,8.74,8.43,8.62,4374000,37770000
"SH600348","2003-10-23",8.62,8.76,8.52,8.55,2439400,21044000
"SH600348","2003-10-24",8.52,8.76,8.52,8.67,3054200,26436000
"SH600348","2003-10-27",8.67,8.74,8.51,8.6,2089600,17970000
"SH600348","2003-10-28",8.56,8.78,8.52,8.73,3113500,26999000
"SH600348","2003-10-29",8.75,8.78,8.56,8.66,3446500,29807000
"SH600348","2003-10-30",8.68,8.72,8.54,8.58,2050400,17681000
"SH600348","2003-10-31",8.56,8.88,8.54,8.87,9042000,79384000
"SH600348","2003-11-03",8.83,9.08,8.8,8.99,15191900,136302000
"SH600348","2003-11-04",9.01,9.22,8.92,8.95,11973400,108543000
"SH600348","2003-11-05",8.94,9.27,8.92,9.11,11094000,101314000
"SH600348","2003-11-06",9.11,9.3,9,9.02,7648000,70029000
"SH600348","2003-11-07",9,9.08,8.8,8.94,6922800,61816000
"SH600348","2003-11-10",8.9,9.02,8.87,8.95,2452300,21919000
"SH600348","2003-11-11",9,9.09,8.77,8.9,2163300,19249000
"SH600348","2003-11-12",8.82,8.85,8.59,8.59,3537600,30693000
"SH600348","2003-11-13",8.58,8.97,8.53,8.74,1778800,15546000
"SH600348","2003-11-14",8.71,8.83,8.71,8.78,1041600,9134000
"SH600348","2003-11-17",8.77,8.81,8.67,8.74,1105200,9632000
"SH600348","2003-11-18",8.7,8.76,8.65,8.67,1272900,11060000
"SH600348","2003-11-19",8.64,8.83,8.58,8.8,1096000,9589000
"SH600348","2003-11-20",8.8,9,8.7,8.99,4166500,36957000
"SH600348","2003-11-24",8.85,9.23,8.82,9.16,5489400,49910000
"SH600348","2003-11-25",9.18,9.66,9.11,9.2,9249800,86411000
"SH600348","2003-11-26",9.18,9.33,9.16,9.3,4392400,40738000
"SH600348","2003-11-27",9.31,9.55,9.21,9.21,5359800,50254000
"SH600348","2003-11-28",9.3,9.85,9.26,9.64,14722900,141599008
"SH600348","2003-12-01",9.74,9.95,9.66,9.71,9374200,91851000
"SH600348","2003-12-02",9.78,9.92,9.71,9.75,6413100,62984000
"SH600348","2003-12-03",9.77,10.14,9.76,9.94,9100800,91135000
"SH600348","2003-12-04",9.94,10.14,9.88,10,7280600,72750000
"SH600348","2003-12-05",10,10.01,9.82,9.92,5108100,50611000
"SH600348","2003-12-08",9.98,10.28,9.98,10.1,5964100,60435000
"SH600348","2003-12-09",10.1,10.2,9.98,10.09,3993100,40187000
"SH600348","2003-12-10",10.12,10.58,10.1,10.51,8322000,86180000
"SH600348","2003-12-11",10.55,10.84,10.47,10.7,9410100,100528000
"SH600348","2003-12-12",10.7,10.85,10.45,10.58,5557900,58950000
"SH600348","2003-12-15",10.58,10.65,10.4,10.43,2877500,30312000
"SH600348","2003-12-16",10.31,10.64,10.2,10.54,6186700,64647000
"SH600348","2003-12-17",10.5,10.9,10.45,10.47,5485700,58729000
"SH600348","2003-12-18",10.46,10.99,10.46,10.76,5792700,62615000
"SH600348","2003-12-19",10.9,11.23,10.8,11.05,8437000,92984000
"SH600348","2003-12-22",11.17,11.64,11.08,11.58,8483500,97068000
"SH600348","2003-12-23",11.6,11.68,11.38,11.58,4906800,56301000
"SH600348","2003-12-24",11.58,12.25,11.44,12.23,6604000,78410000
"SH600348","2003-12-25",12.25,12.46,12.08,12.29,7028500,85963000
"SH600348","2003-12-26",12.29,12.35,12.06,12.22,3518700,42896000
"SH600348","2003-12-29",11.99,12.12,11.81,12.02,4870900,58329000
"SH600348","2003-12-30",12,12.12,11.71,12.04,7608900,90474000
"SH600348","2003-12-31",12.1,12.1,11.78,11.81,2892100,34409000
"SH600348","2004-01-02",11.72,12.07,11.55,11.68,9024600,106039000
"SH600348","2004-01-05",11.68,12.53,11.6,12.24,10306700,125577000
"SH600348","2004-01-06",12.27,12.3,11.9,12.1,6648700,80302000
"SH600348","2004-01-07",12.05,12.44,11.84,12.27,6329900,77109000
"SH600348","2004-01-08",12.4,12.85,12.27,12.42,8702700,108846000
"SH600348","2004-01-09",12.45,13.03,12.45,12.58,8877100,113525000
"SH600348","2004-01-12",12.58,12.88,12.19,12.78,4539300,56811000
"SH600348","2004-01-13",12.81,12.85,12.33,12.49,4379900,54772000
"SH600348","2004-01-14",12.35,12.43,11.98,12.01,5355200,64832000
"SH600348","2004-01-15",12,12.2,12,12.14,2675600,32311000
"SH600348","2004-01-16",12.12,12.5,12.12,12.33,4295200,52909000
"SH600348","2004-01-29",12.35,12.48,11.88,11.99,5335900,64339000
"SH600348","2004-01-30",12,12.05,11.75,11.87,3811600,45321000
"SH600348","2004-02-02",12.1,12.32,11.69,12.03,5261000,63065000
"SH600348","2004-02-03",12,12.14,11.84,12.1,2981700,35700000
"SH600348","2004-02-04",12.15,12.73,12.02,12.56,6257300,78181000
