代码,时间,开盘价,最高价,最低价,收盘价,成交量.股.,成交额.元.
SH601399,2020-6-8,6,9.59,6,6.15,143877232,1031993025
SH601399,2020-6-9,5.84,5.84,5.84,5.84,3828200,22356688
SH601399,2020-6-10,5.55,5.55,5.55,5.55,741500,4115325
SH601399,2020-6-11,5.27,5.27,5.27,5.27,564200,2973334
SH601399,2020-6-12,5.01,5.01,5.01,5.01,1524500,7637745
SH601399,2020-6-15,4.76,5,4.76,4.76,80614550,386646430
SH601399,2020-6-16,4.6,4.64,4.52,4.52,59924635,272363218
SH601399,2020-6-17,4.54,4.67,4.5,4.56,42115010,193165944
SH601399,2020-6-18,4.45,4.48,4.34,4.35,44199324,194069207
SH601399,2020-6-19,4.37,4.57,4.33,4.57,32668623,145175882
SH601399,2020-6-22,4.78,4.78,4.49,4.49,51462509,238488245
SH601399,2020-6-23,4.36,4.71,4.36,4.66,50797432,233660802
SH601399,2020-6-24,4.59,4.74,4.57,4.6,28746300,133481519
SH601399,2020-6-29,4.56,4.71,4.44,4.63,24957981,114624516
SH601399,2020-6-30,4.64,4.86,4.59,4.86,36552555,176036587
SH601399,2020-7-1,4.94,5.1,4.88,5.1,18598121,93787662
SH601399,2020-7-2,5.31,5.36,5.25,5.36,10864234,57757396
SH601399,2020-7-3,5.58,5.63,5.09,5.18,68788943,362509200
SH601399,2020-7-6,5.18,5.38,5.07,5.19,44111441,229763595
SH601399,2020-7-7,5.2,5.22,5.05,5.1,38577784,197206568
SH601399,2020-7-8,5.1,5.36,5.06,5.36,27258378,143283306
SH601399,2020-7-9,5.5,5.58,5.28,5.39,47891148,259362969
SH601399,2020-7-10,5.38,5.45,5.29,5.34,23637775,126652335
SH601399,2020-7-13,5.35,5.6,5.35,5.5,30039867,165016890
SH601399,2020-7-14,5.5,5.78,5.42,5.78,43379916,244966261
SH601399,2020-7-15,5.81,6.07,5.68,5.7,53908713,318914078
SH601399,2020-7-16,5.61,5.65,5.42,5.42,32838302,180371985
SH601399,2020-7-17,5.33,5.36,5.16,5.22,24840037,130414132
SH601399,2020-7-20,5.26,5.38,5.22,5.37,18209937,96796271
SH601399,2020-7-21,5.35,5.38,5.23,5.25,18105947,95600941
SH601399,2020-7-22,5.22,5.3,5.19,5.21,16538036,86709760
SH601399,2020-7-23,5.15,5.18,4.95,5.01,27116128,136488788
SH601399,2020-7-24,4.97,5.13,4.81,4.87,21055230,104839459
SH601399,2020-7-27,4.88,5.11,4.83,5.11,15797785,78694575
SH601399,2020-7-28,5.18,5.32,5.09,5.23,24149645,125516512
SH601399,2020-7-29,5.17,5.27,5.14,5.25,14899696,77841159
SH601399,2020-7-30,5.26,5.4,5.19,5.19,17297707,91524946
SH601399,2020-7-31,5.12,5.23,5.07,5.15,17348401,89220542
SH601399,2020-8-3,5.14,5.24,5.13,5.19,14993636,77683241
SH601399,2020-8-4,5.2,5.22,5.08,5.09,15100023,77428648
SH601399,2020-8-5,5.05,5.3,5.03,5.19,18084787,93433703
SH601399,2020-8-6,5.15,5.18,5.09,5.13,11542087,59130006
SH601399,2020-8-7,5.13,5.16,5.03,5.07,11123241,56478108
SH601399,2020-8-10,5.07,5.21,5.03,5.11,11101868,56936439
SH601399,2020-8-11,5.12,5.29,5.09,5.19,19010253,98453958
SH601399,2020-8-12,5.13,5.45,5.11,5.45,34436793,182952631
SH601399,2020-8-13,5.37,5.46,5.27,5.3,24317373,130706979
